NO,TIME,SUHU,SET POINT,EROR,DELTA EROR,OUTPUT FUZZY,OUTPUT M
347,02:03:16,69.50,90.00,20.50,-0.12,1.81,M2
348,02:03:18,69.50,90.00,20.50,0.00,1.82,M2
349,02:03:20,69.62,90.00,20.38,-0.12,1.81,M2
350,02:03:22,69.69,90.00,20.31,-0.06,1.82,M2
351,02:03:24,69.81,90.00,20.19,-0.12,1.81,M2
352,02:03:26,69.88,90.00,20.12,-0.06,1.82,M2
353,02:03:28,69.94,90.00,20.06,-0.06,1.82,M2
354,02:03:30,70.06,90.00,19.94,-0.12,1.81,M2
355,02:03:32,70.12,90.00,19.88,-0.06,1.83,M2
356,02:03:34,70.25,90.00,19.75,-0.12,1.81,M2
357,02:03:36,70.31,90.00,19.69,-0.06,1.83,M2
358,02:03:38,70.44,90.00,19.56,-0.12,1.81,M2
359,02:03:40,70.50,90.00,19.50,-0.06,1.83,M2
360,02:03:42,70.56,90.00,19.44,-0.06,1.83,M2
361,02:03:44,70.69,90.00,19.31,-0.12,1.81,M2
362,02:03:46,70.75,90.00,19.25,-0.06,1.83,M2
363,02:03:48,70.88,90.00,19.12,-0.12,1.81,M2
364,02:03:50,71.00,90.00,19.00,-0.06,1.83,M2
365,02:03:52,71.12,90.00,18.88,-0.12,1.81,M2
366,02:03:54,71.19,90.00,18.81,-0.06,1.83,M2
367,02:03:56,71.25,90.00,18.75,-0.06,1.83,M2
368,02:03:58,71.38,90.00,18.62,-0.12,1.81,M2
369,02:04:00,71.44,90.00,18.56,-0.06,1.83,M2
370,02:04:02,71.50,90.00,18.50,-0.06,1.83,M2
371,02:04:04,71.56,90.00,18.44,-0.06,1.83,M2
372,02:04:06,71.69,90.00,18.31,-0.12,1.81,M2
373,02:04:08,71.81,90.00,18.19,-0.12,1.81,M2
374,02:04:10,71.88,90.00,18.12,-0.06,1.83,M2
375,02:04:12,71.94,90.00,18.06,-0.06,1.83,M2
376,02:04:14,72.06,90.00,17.94,-0.12,1.81,M2
377,02:04:16,72.12,90.00,17.88,-0.06,1.83,M2
378,02:04:18,72.19,90.00,17.81,-0.06,1.83,M2
379,02:04:21,72.31,90.00,17.69,-0.12,1.81,M2
380,02:04:23,72.38,90.00,17.62,-0.06,1.83,M2
381,02:04:25,72.44,90.00,17.56,-0.06,1.83,M2
382,02:04:27,72.56,90.00,17.44,-0.12,1.81,M2
383,02:04:29,72.62,90.00,17.38,-0.06,1.83,M2
384,02:04:31,72.75,90.00,17.25,-0.12,1.81,M2
385,02:04:33,72.81,90.00,17.19,-0.06,1.83,M2
386,02:04:35,72.88,90.00,17.12,-0.06,1.83,M2
387,02:04:37,73.00,90.00,17.00,-0.12,1.81,M2
388,02:04:39,73.06,90.00,16.94,-0.06,1.83,M2
389,02:04:41,73.12,90.00,16.88,-0.06,1.83,M2
390,02:04:43,73.25,90.00,16.75,-0.12,1.81,M2
391,02:04:45,73.31,90.00,16.69,-0.06,1.83,M2
392,02:04:47,73.44,90.00,16.56,-0.12,1.81,M2
393,02:04:49,73.50,90.00,16.50,-0.06,1.83,M2
394,02:04:51,73.56,90.00,16.44,-0.06,1.83,M2
395,02:04:53,73.69,90.00,16.31,-0.12,1.81,M2
396,02:04:55,73.75,90.00,16.25,-0.06,1.83,M2
397,02:04:57,73.81,90.00,16.19,-0.06,1.83,M2
398,02:04:59,73.94,90.00,16.06,-0.12,1.81,M2
399,02:05:01,74.00,90.00,16.00,-0.06,1.83,M2
400,02:05:03,74.06,90.00,15.94,-0.06,1.83,M2
401,02:05:05,74.19,90.00,15.81,-0.12,1.81,M2
402,02:05:07,74.25,90.00,15.75,-0.06,1.83,M2
403,02:05:09,74.38,90.00,15.62,-0.12,1.81,M2
404,02:05:11,74.44,90.00,15.56,-0.06,1.83,M2
405,02:05:13,74.50,90.00,15.50,-0.06,1.83,M2
406,02:05:15,74.62,90.00,15.38,-0.12,1.81,M2
407,02:05:17,74.69,90.00,15.31,-0.06,1.83,M2
408,02:05:19,74.75,90.00,15.25,-0.06,1.83,M2
409,02:05:21,74.88,90.00,15.12,-0.12,1.81,M2
410,02:05:23,74.94,90.00,15.06,-0.06,1.83,M2
411,02:05:25,75.06,90.00,14.94,-0.12,1.81,M2
412,02:05:27,75.12,90.00,14.88,-0.06,1.83,M2
413,02:05:29,75.19,90.00,14.81,-0.06,1.83,M2
414,02:05:31,75.25,90.00,14.75,-0.06,1.83,M2
415,02:05:33,75.38,90.00,14.62,-0.12,1.81,M2
416,02:05:35,75.44,90.00,14.56,-0.06,1.83,M2
417,02:05:37,75.56,90.00,14.44,-0.12,1.81,M2
418,02:05:39,75.62,90.00,14.38,-0.06,1.83,M2
